Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
163262,ATLANTIC,S,0.2,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163263,DESIREE,S,0.1,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163264,MEERA,S,0.2,Aberdeen,McCreight Potatoes Ltd,No
163265,DESIREE,S,0.1,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163266,HERMES,S,0.1,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163267,ATLANTIC,S,0.1,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163268,SPUNTA,S,0.1,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163269,JAZZY,S,0.1,Aberdeen,Meijer Potato UK,No
163270,EDISON,S,0.2,Aberdeen,Solana Seeds United Kingdom Ltd,No
163271,JAZZY,S,0.1,Aberdeen,Meijer Potato UK,No
163272,BURREN,S,0.4,Aberdeen,IPM Potato Group Ltd,No
163273,JAZZY,S,5.5,Aberdeen,Meijer Potato UK,No
163274,EDISON,S,0.2,Aberdeen,Solana Seeds United Kingdom Ltd,No
163275,OPAL,S,0.6,Aberdeen,Solana Seeds United Kingdom Ltd,No
163276,VR 808,PB,0.8,Inverness,Stet Potato Ltd for Saltire Seed Ltd,No
163277,LANORMA,S,1.1,Aberdeen,Branston Ltd,No
163278,HERMES,S,1.3,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163279,JAZZY,S,0.6,Aberdeen,Meijer Potato UK,No
163280,LUCERA,S,3.2,Aberdeen,Branston Ltd,No
163281,LUCERA,S,2.4,Aberdeen,Branston Ltd,No
163282,JAZZY,S,1.5,Aberdeen,Meijer Potato UK,No
163283,CARA,S,3.8,Aberdeen,Alan Twatt (Potato Merchants) Ltd,No
163284,JAZZY,S,1,Aberdeen,Meijer Potato UK,No
163285,ATLANTIC,S,0.2,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163286,BURREN,S,0.6,Aberdeen,IPM Potato Group Ltd,No
163287,CARA,S,2.3,Aberdeen,Alan Twatt (Potato Merchants) Ltd,No
163288,LADY ANNA,PB,0.1,Inverness,Meijer Potato UK,No
163289,MARIS PIPER,SE,4.3,Aberdeen,Alan Twatt (Potatoes) Ltd,No
163290,CARA,S,1.8,Aberdeen,Alan Twatt (Potato Merchants) Ltd,No
163291,KARELIA,PB,0.3,Inverness,Europlant for Greenvale AP,No
163305,BURREN,S,0.7,Angus,IPM Potato Group Ltd,No
163306,BURREN,SE,4.7,Angus,IPM Potato Group Ltd,No
163307,NECTAR,S,2.6,Angus,IPM Potato Group Ltd,No
163308,NECTAR,SE,2.1,Angus,IPM Potato Group Ltd,No
163309,ACCORD,S,1.6,Angus,Meijer Potato UK,No
163311,KING RUSSET,S,3.3,Angus,McCain Potatoes,No
163312,MARIS PIPER,SE,6.5,Angus,Messrs David A Officer,No
163313,MARIS PIPER,S,5.8,Kincardine,Messrs David A Officer,No
163314,INNOVATOR,S,4.3,Angus,McCain Potatoes,No
163315,ROYAL,S,10.5,Kincardine,McCain Potatoes,No
163317,CHARLOTTE,SE,4.8,Kincardine,Messrs David A Officer,No
163318,MARIS PEER,S,1.2,Kincardine,Messrs David A Officer,No
163319,MARIS PEER,S,7.8,Kincardine,Messrs David A Officer,No
163320,GEMSON,SE,1.3,Kincardine,Grampian Growers,No
163321,GEMSON,SE,3.5,Kincardine,Grampian Growers,No
163323,KING EDWARD,S,5.2,Perth,John Bryden (Potatoes) Ltd,No
163324,KING EDWARD,S,4.2,Perth,John Bryden (Potatoes) Ltd,No
163326,MARIS PIPER,S,1.2,Perth,John Bryden (Potatoes) Ltd,No
163327,MARIS PIPER,S,4.8,Perth,John Bryden (Potatoes) Ltd,No
163328,MARIS PIPER,S,4.1,Perth,John Bryden (Potatoes) Ltd,No
163330,KING EDWARD,S,4.3,Perth,John Bryden (Potatoes) Ltd,No
